t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro,cluster
117,7072.256462049498,1834.5046022436557,34.87907411515178,17,278.52941176470586,203.64705882352942,17.11764705882353,115.60473817535878,1.9026010824102002,1.8731824487414457,-0.12954955850882577,1
118,7141.523577895519,1799.2825883822334,36.54331469110476,17,280.29411764705884,207.8235294117647,17.058823529411764,77.72575695852085,2.46619923160398,0.877234341097612,-0.055735114628245874,1
119,6878.005500331074,1667.017613494947,37.94641525985231,19,278.2105263157895,208.57894736842104,17.57894736842105,294.85211458695994,1.0777954819173488,-1.154882993489231,-0.021264626861571934,1
120,6468.245366598934,1711.495980937058,42.93162032790233,23,271.2608695652174,213.08695652173913,17.347826086956523,412.19721570634937,-1.598882471740211,-1.0346958284399719,0.30704516973786955,1
121,6829.924655165232,1676.1363709254902,42.98623288848362,23,272.95652173913044,214.7826086956522,17.347826086956523,363.4036499273575,0.09403632963315545,-1.909690457161922,0.2657371839371816,1
122,6669.480626449646,1859.723800909443,44.06293375202269,24,275.25,210.29166666666666,16.958333333333332,243.81917497061295,-1.4914319517383205,-0.07627352218410977,0.3011116218863972,1
123,6688.394967922561,1843.4701589949532,42.128473082487055,25,275.76,210.52,17.28,25.01350289184782,-2.196235706264474,-0.5400272035283322,0.13487922943613206,1
124,6740.130205631651,2069.9601290846567,39.34999450180113,27,271.25925925925924,207.25925925925927,17.59259259259259,232.3401844607906,-2.8490502246940252,1.595781115703673,-0.06900644543388879,1
125,7060.641612433725,1994.009642488065,37.852571608821385,28,272.60714285714283,208.28571428571428,17.285714285714285,329.39077184982574,-2.1356167333512985,0.29198007973344176,-0.14290059009599165,1
126,7258.457416502644,2014.514039885097,39.603798714297824,28,273.0,207.0,17.178571428571427,198.883356388672,-2.2537558840924135,-0.20381641329424127,0.07811803543503437,1
127,8131.985641512616,2122.4688653536236,37.531224406053184,29,278.7586206896552,207.75862068965517,16.96551724137931,880.1761754303936,1.3886077285306442,0.04069180001944517,0.04032934634025498,1
128,8271.83960238336,2122.6273476632336,34.936141511075206,29,277.9655172413793,207.0344827586207,16.79310344827586,139.87812532025754,0.7891901254669165,-1.112138825892579,-0.04616632759901318,1
129,9128.047949363747,2332.333611482932,31.506056218878516,31,283.5483870967742,213.8709677419355,16.387096774193548,881.5221018268437,3.8953741053311433,-0.07345594367306063,-0.19940541702788206,1
130,9131.00221951359,2334.5664057257577,33.773726477615305,31,283.0967741935484,213.41935483870967,16.387096774193548,4.342281733306589,2.589623508525335,-1.1780769338171737,0.13476707687774514,1
131,9115.329954598015,2488.990426833274,31.52629825621008,32,282.25,215.1875,16.15625,155.23353090169957,1.5628496762950164,-0.7494197927461386,0.0489040780640817,1
132,9231.312526052161,2631.4269638899905,28.345470995350187,32,282.8125,214.46875,16.0625,183.71238834626487,1.1835924814341041,-0.3482174905746618,-0.13983522336644238,1
133,9228.118709919265,2842.9658131033257,28.354930102409217,32,282.3125,215.15625,15.96875,211.56295818849674,0.478511245409905,0.5936631746293344,-0.068344977982572,1
134,9085.14222472887,2940.9628025822794,28.46333206385059,32,284.53125,216.125,16.09375,173.3369464809005,-0.7881104661634453,0.6088282243399021,0.007263298518416228,1
135,8860.977623202534,3121.0564721223664,27.257896862600152,32,285.53125,218.4375,16.125,287.54991125002874,-2.288827237249521,1.2421190239542454,-0.03856379010144906,1
136,8979.897137154592,3198.9702061981175,26.01351602229212,32,286.875,219.40625,15.96875,142.1757688211894,-1.8559378105324527,1.128578887905995,-0.10013181788338432,1
137,9254.661482341759,3192.0654442852715,27.030885872970675,32,286.875,219.9375,15.8125,274.8529719042864,-0.3697026269438908,0.42625298352336927,0.01765071519299788,1
138,9314.650305096893,3185.7343147708634,26.94155200724192,32,287.75,221.40625,15.90625,60.322052659162146,-0.10523698382375812,-0.23955966239744697,0.005963227966015339,1
139,9213.202835147025,3269.3091043270038,28.237083963469285,32,289.71875,219.0,15.875,131.44585581764105,-0.5874691759186277,0.25517776371061984,0.12253956104272845,1
140,9306.73804239208,3234.0769650990947,26.74651594632635,32,291.28125,218.75,15.875,99.96179481163742,-0.2745722100826953,-0.22017918331055597,-0.02057505993082387,1
141,9563.769677083634,3204.524604569255,27.349273034612445,32,292.125,219.84375,15.8125,258.72565887674386,0.8885438566364456,-0.4472695707963297,-0.012537135082055784,1
142,9516.407738558537,3226.937230878068,28.117921188394607,32,293.96875,220.03125,15.8125,52.40295658546231,0.6339051999394627,-0.1667378825198469,0.01040202070355356,1
143,9704.355599139206,3178.3346221576076,27.206263078189398,32,295.40625,220.625,15.78125,194.13253975517512,1.6392565296623616,-0.3417525423745289,-0.12429826848866199,1
144,9595.74113155427,3252.7035911585754,28.19492572465442,32,294.40625,220.9375,15.6875,131.6389895618104,1.1225643418161724,0.5708584305854529,-0.07529406673537942,1
145,9429.644479004484,3179.881744053524,29.934714441991748,32,295.1875,221.5,15.5625,181.36743442199543,0.3658368165553725,0.20081641763344038,0.03395868483893327,1
146,9254.250014357058,3159.064370613654,31.156318154285064,32,295.53125,224.15625,15.6875,176.6297641438788,-0.34412133989631855,0.2074457308069455,0.0892318979195812,1
147,9251.583940887034,3124.385304790323,31.285637135141275,32,297.40625,224.90625,15.59375,34.78163707368133,-0.26497748840887425,0.13626087938268228,0.04530626461823406,1
148,9281.205936756836,2920.9522825968766,30.948225958788992,32,297.53125,225.15625,15.65625,205.57862487226583,-0.11710009143061484,-1.500156647690872,-0.0426989631190553,1
149,9180.775514290897,3074.150044404705,32.44162880439908,32,297.5,225.8125,15.6875,183.18857560359612,-0.879206419461454,0.08582469574301399,0.041987209561951566,1
150,9175.758701858242,3077.0770526892884,33.95233138997001,32,297.5,226.59375,15.625,6.001500377781989,-1.2098995466588178,0.21033746196224,0.12130388551085325,1
151,9082.04270227462,3041.747266784544,32.08796062833461,32,295.34375,227.6875,15.75,100.17164383381733,-2.237771090682969,0.018234500537928966,-0.07772809778667789,1
152,9367.164808988688,2923.034858215169,33.27884842114279,32,295.40625,227.90625,15.6875,308.8505624070401,-1.3823810468084332,-0.8782718237766858,-0.010162211347622296,1
