t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
167,3421.1410982779244,2530.7713703020668,1.0462091059586094,11,195.0,274.3636363636364,11.0,100.06986251080004,-0.32930459682019375,2.8681450910661397,-0.1616459210315928
168,3406.2570451493934,2171.027107881734,1.6910535804414704,11,198.27272727272728,277.1818181818182,10.909090909090908,360.05261449721263,-0.7970825434473952,-1.0490920382659468,0.09852622913507303
169,3308.8644172279355,2022.1331557075514,1.4521312065248329,13,196.30769230769232,283.3076923076923,10.76923076923077,177.9179306629776,-1.8174994302139709,-2.790967427711138,-0.025610439618975578
170,3332.088155293981,2185.365062955579,1.4090266483997482,14,188.92857142857142,284.42857142857144,10.857142857142858,164.87570897980072,-1.574356841545331,-1.0690348274545585,-0.09576735229777977
171,3545.754340657974,2244.579371079346,2.217308670841652,14,189.71428571428572,287.0,10.714285714285714,221.72105532493848,0.6771298216420547,-0.3883575376314923,0.18862193155649343
172,3428.9987530440085,2246.8442161230996,2.192586388445849,15,186.66666666666666,285.4,10.6,116.77755509234562,0.005070145424035388,-0.2316024459210695,0.14572630112153329
173,3441.2212159723376,2237.549821277156,2.3400738616191967,15,184.33333333333334,281.46666666666664,10.4,15.35565459827192,0.021685563070931835,0.1887293795651459,0.16940624432520046
174,3567.143598214954,2232.5156326146434,2.3941025037373107,15,181.66666666666666,279.46666666666664,10.533333333333333,126.02298331748685,1.0258273393518706,0.5959486857592395,0.15147570430123847
175,3586.615926518492,2179.569749356861,1.8765463468685355,15,178.46666666666667,280.4,10.6,56.41547649256368,1.2789325436717718,0.20633647540247324,-0.028094410702812045
176,3548.762013369568,2145.8861139792402,1.4496504289691263,15,176.26666666666668,277.06666666666666,10.6,50.672362023725356,0.9309600481972495,0.04491370929803651,-0.1894626953222267
177,3553.080442322054,2134.813535509567,1.2171332794910312,15,175.46666666666667,273.0,10.733333333333333,11.887173205162815,0.962526357816806,0.1287370836399191,-0.2706653657750322
178,3277.790860342734,2096.927180401082,1.977271756184869,16,170.625,272.9375,11.1875,277.8854218203226,-1.3212000600448732,-0.24987713343023188,0.06102250621340555
179,3220.4601285610047,2068.3950191658546,2.015946023142786,16,169.625,271.875,11.1875,64.03825830767512,-1.7305415792891523,-0.27552728722164943,0.0937664859061833
180,3367.747024161525,2085.4550370484117,1.2276262900610408,16,167.4375,270.25,11.5625,148.27371740734546,-0.35827026625229763,0.30031111713126535,-0.18444181475537857
181,3415.473376369494,2078.903820329381,2.07983455112479,16,168.0625,270.8125,11.4375,48.181421673701436,0.08550986920882764,0.5869604387319924,0.19731031164054325
182,3377.89747771323,1993.0769878010365,1.7677219857333946,16,167.4375,271.4375,11.5,93.69253308523454,-0.2868571327460856,-0.04953380350443126,0.11027531151474657
183,3412.432947360795,1988.9878050024327,1.5597163867707415,16,168.0,271.375,11.4375,34.77733954844003,0.02447553005534786,0.08686805188283131,0.05475083503406841
184,3414.6288067482665,1890.9522002013628,1.0986805503716628,16,165.9375,271.9375,11.75,98.0612775829662,0.10761727374939767,-0.8587849568079022,-0.14088499276980926
185,3569.9896940218905,1845.0000137553577,1.5532609727510647,16,165.875,270.4375,11.75,162.01486159293083,1.2259973099665231,-1.1864558758343975,0.07077795938608533
186,3395.7106702139426,1888.0635098430787,1.3117574429789267,16,164.25,269.4375,11.8125,179.5207541169079,-0.4914045825505511,-0.45791730550179466,-0.01984980385562185
187,3443.3933626530693,1927.5411837710446,1.2646723258843744,16,165.6875,268.0,11.625,61.904184947508995,-0.36337733323173893,0.261691073175065,-0.03388482050842834
188,3570.611714952406,1877.8296305529998,1.230529494594117,16,166.375,267.0,11.75,136.58604925409338,0.39777110196771304,0.008417229542885707,-0.046554533705731815
189,3666.1471894056926,1891.1610126324115,1.2347667118963799,16,168.25,266.4375,11.625,96.46114577961339,0.8511568172187438,0.5387471275215887,-0.046576402919290105
190,3600.9431966770317,1788.0291590659178,1.2737380070521878,16,169.1875,265.625,11.625,122.01533267004524,-0.05255032155687189,-0.21530875215552214,-0.03610235753699054
191,3510.6192022633454,1818.145547148874,1.477438087778603,16,169.9375,266.25,11.5625,95.21272127047799,-1.1892836708578898,0.6705347142100351,0.03842528543481438
192,3619.2121330161513,1801.568562480743,1.4810232531034535,16,168.875,265.75,11.6875,109.8509036968952,-0.6701199476397193,1.1011494879174535,0.021630929964270962
193,3701.4627304403616,1619.5744347461873,1.7050223134515856,16,167.4375,264.25,11.9375,199.7174841672113,-0.3858898312291785,-0.36879641897476034,0.08580721096295796
194,3928.9025414436196,1523.3213753518523,1.42842695452829,16,168.0,263.6875,11.75,246.9688149887748,1.0602175288137872,-0.735078408606654,-0.05620368093305106
